epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6412732601165771,0.6817193031311035,2.532999038696289,0.7242857217788696,0.8585877418518066,1.9213591814041138
1,0.7711015939712524,0.8530933260917664,1.6734458208084106,0.8242856860160828,0.9449673295021057,1.3691645860671997
2,0.8365522027015686,0.915935218334198,1.2083466053009033,0.9028571248054504,0.9617224335670471,0.9699845910072327
3,0.8723176121711731,0.9462288618087769,0.9149754047393799,0.8600000143051147,0.9512612223625183,0.856818675994873
4,0.8583691120147705,0.9389627575874329,0.7915339469909668,0.8785714507102966,0.9705346822738647,0.6816572546958923
5,0.8859084248542786,0.9542234539985657,0.6461600065231323,0.881428599357605,0.979318380355835,0.5699468851089478
6,0.9012875556945801,0.9662971496582031,0.5265718102455139,0.9200000166893005,0.9788734912872314,0.45184072852134705
7,0.9023604989051819,0.9681390523910522,0.46822038292884827,0.9157142639160156,0.9782571196556091,0.42617353796958923
8,0.9034335017204285,0.9669709801673889,0.4537261426448822,0.9171428680419922,0.9743428230285645,0.4386926293373108
9,0.886623740196228,0.9522798657417297,0.487444669008255,0.9157142639160156,0.9743102192878723,0.4002358615398407
10,0.9116595387458801,0.9722383618354797,0.3957505524158478,0.927142858505249,0.9793224334716797,0.3623080849647522
11,0.9177396297454834,0.9734379649162292,0.36793363094329834,0.9314285516738892,0.9786938428878784,0.33934712409973145
12,0.9198855757713318,0.974004864692688,0.3487284183502197,0.9285714030265808,0.9819959402084351,0.32645031809806824
13,0.9245350360870361,0.9781396985054016,0.3226760923862457,0.9371428489685059,0.9874652028083801,0.27981603145599365
14,0.9166666865348816,0.9741402268409729,0.3380347788333893,0.9357143044471741,0.9845143556594849,0.2908269464969635
15,0.9295421838760376,0.9813946485519409,0.2974012792110443,0.9571428298950195,0.9882612824440002,0.2564789056777954
16,0.9220314621925354,0.9792481660842896,0.30541497468948364,0.9300000071525574,0.9791755080223083,0.3042243421077728
17,0.9234620928764343,0.979865550994873,0.30214351415634155,0.9471428394317627,0.98526531457901,0.28170034289360046
18,0.9231044054031372,0.9790138602256775,0.30435678362846375,0.8714285492897034,0.9781264662742615,0.3913487493991852
19,0.9238197207450867,0.9792890548706055,0.299789696931839,0.9371428489685059,0.9853796362876892,0.2841556668281555
20,0.9209585189819336,0.9745295643806458,0.32630932331085205,0.9100000262260437,0.9712978601455688,0.3756772577762604
21,0.9145207405090332,0.9754918217658997,0.3208586871623993,0.9471428394317627,0.9879142642021179,0.256906658411026
22,0.9374105930328369,0.9854147434234619,0.2665920555591583,0.9242857098579407,0.9848775863647461,0.31457409262657166
23,0.9291845560073853,0.9813255071640015,0.28365087509155273,0.9428571462631226,0.9844856262207031,0.2677192687988281
24,0.9277539253234863,0.9803766012191772,0.29031726717948914,0.9457142949104309,0.9856448769569397,0.269893616437912
25,0.9309728145599365,0.9832749366760254,0.27864953875541687,0.9385714530944824,0.9895428419113159,0.2505728006362915
26,0.9341917037963867,0.9858404994010925,0.2687278687953949,0.9514285922050476,0.9866815805435181,0.2566690444946289
27,0.9349070191383362,0.9844042062759399,0.2691797614097595,0.9428571462631226,0.9867346882820129,0.251024454832077
28,0.9188125729560852,0.9752827286720276,0.3339610993862152,0.927142858505249,0.9806939363479614,0.31542283296585083
29,0.9320457577705383,0.9838874340057373,0.284893274307251,0.9300000071525574,0.9826449155807495,0.2898988425731659
