epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.4897836446762085,0.5042963027954102,2.9324822425842285,0.4951923191547394,0.4986940920352936,2.4646317958831787
1,0.5300480723381042,0.5295583605766296,2.303647518157959,0.5120192170143127,0.5119614601135254,2.1299593448638916
2,0.5168269276618958,0.5313973426818848,1.9945380687713623,0.5288461446762085,0.5114298462867737,1.8468902111053467
3,0.5228365659713745,0.5263267159461975,1.7211673259735107,0.5432692170143127,0.5434310436248779,1.5970919132232666
4,0.53125,0.5340908765792847,1.5085513591766357,0.5240384340286255,0.5598418712615967,1.4108675718307495
5,0.5306490659713745,0.554872453212738,1.3337165117263794,0.5336538553237915,0.547441303730011,1.2585735321044922
6,0.5426682829856873,0.5552964210510254,1.1963090896606445,0.5456730723381042,0.5474874973297119,1.1490209102630615
7,0.534254789352417,0.5653538703918457,1.0946186780929565,0.536057710647583,0.5669494271278381,1.046306848526001
8,0.5709134340286255,0.5741898417472839,1.0149749517440796,0.5432692170143127,0.5777435898780823,0.9765802025794983
9,0.5793269276618958,0.5992193222045898,0.9377391338348389,0.5528846383094788,0.5797199010848999,0.9269219636917114
10,0.5456730723381042,0.557318925857544,0.9026938080787659,0.5528846383094788,0.5730052590370178,0.8739970326423645
11,0.5558894276618958,0.56658536195755,0.8549471497535706,0.567307710647583,0.5847702622413635,0.8411135077476501
12,0.5625,0.5805209279060364,0.8240340948104858,0.5432692170143127,0.5815227627754211,0.8061395883560181
13,0.5643028616905212,0.6006790995597839,0.7938229441642761,0.5168269276618958,0.5702893733978271,0.7989928126335144
14,0.5480769276618958,0.5539637207984924,0.7879445552825928,0.5817307829856873,0.6282706260681152,0.7704607248306274
15,0.5949519276618958,0.6137645244598389,0.7538649439811707,0.5841346383094788,0.6506680250167847,0.7472905516624451
16,0.557692289352417,0.5894695520401001,0.7551959156990051,0.557692289352417,0.5859259366989136,0.7528372406959534
17,0.5853365659713745,0.6085594892501831,0.7393420934677124,0.588942289352417,0.6464381814002991,0.724385142326355
18,0.5715144276618958,0.600796103477478,0.7364367246627808,0.5504807829856873,0.6422775983810425,0.7383817434310913
19,0.5661057829856873,0.5985996127128601,0.7317962050437927,0.557692289352417,0.6207586526870728,0.7365490198135376
20,0.5667067170143127,0.595797061920166,0.7253751754760742,0.5817307829856873,0.6104035377502441,0.7325271964073181
21,0.6009615659713745,0.6299276351928711,0.70987868309021,0.5721153616905212,0.6325466632843018,0.7168928384780884
22,0.5943509340286255,0.6215141415596008,0.7084038853645325,0.536057710647583,0.5886880159378052,0.7339890599250793
23,0.5643028616905212,0.5847427845001221,0.7142763137817383,0.5120192170143127,0.5805172920227051,0.7321376800537109
24,0.5661057829856873,0.5668901801109314,0.7154672145843506,0.5913461446762085,0.6035503149032593,0.7014931440353394
25,0.581129789352417,0.6087509393692017,0.7014074325561523,0.5408653616905212,0.5831176042556763,0.7174662351608276
26,0.6153846383094788,0.6445962190628052,0.6855166554450989,0.5841346383094788,0.6854890584945679,0.6999295949935913
27,0.6051682829856873,0.6369621753692627,0.6893846988677979,0.6466346383094788,0.6859166622161865,0.6802374720573425
28,0.6087740659713745,0.6321263313293457,0.6894794702529907,0.6418269276618958,0.6542621850967407,0.68958580493927
29,0.6183894276618958,0.6523531079292297,0.6835753917694092,0.6225961446762085,0.6468888521194458,0.682576060295105
