epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.6759656667709351,0.7543670535087585,1.0242053270339966,0.808571457862854,0.9067061543464661,0.6857500076293945
1,0.7972102761268616,0.8785860538482666,0.5880308747291565,0.8600000143051147,0.941159188747406,0.4637257158756256
2,0.8279685378074646,0.9055018424987793,0.5130103826522827,0.8500000238418579,0.9502612352371216,0.4878746569156647
3,0.8376252055168152,0.9155496954917908,0.48548248410224915,0.8600000143051147,0.9427918791770935,0.46802935004234314
4,0.8522889614105225,0.9366328716278076,0.4420105814933777,0.8757143020629883,0.9544530510902405,0.4095748960971832
5,0.8540772795677185,0.9344468116760254,0.4385449290275574,0.8600000143051147,0.9621306657791138,0.41271358728408813
6,0.8623033165931702,0.9401758909225464,0.4187568724155426,0.9057142734527588,0.9664489030838013,0.3452407717704773
7,0.8762518167495728,0.9510356783866882,0.39725276827812195,0.8942857384681702,0.9638979434967041,0.3612017035484314
8,0.8776823878288269,0.9525582194328308,0.3964073061943054,0.9085714221000671,0.9690938591957092,0.39122357964515686
9,0.8626609444618225,0.9410394430160522,0.4304778277873993,0.9057142734527588,0.9702857732772827,0.3424209654331207
10,0.8844778537750244,0.9516845345497131,0.39054688811302185,0.9085714221000671,0.966710090637207,0.3624994456768036
11,0.8948497772216797,0.9580545425415039,0.3756420910358429,0.9257143139839172,0.9717510342597961,0.33480802178382874
12,0.8952074646949768,0.9596864581108093,0.37359705567359924,0.8985714316368103,0.976330578327179,0.3402649462223053
13,0.8919885754585266,0.9615281820297241,0.3639073967933655,0.8714285492897034,0.9711673259735107,0.371991366147995
14,0.8984262943267822,0.9625516533851624,0.3575623631477356,0.9114285707473755,0.9731061458587646,0.3396320343017578
15,0.9066523313522339,0.9691222906112671,0.3340094983577728,0.9085714221000671,0.9776694178581238,0.32464733719825745
16,0.9198855757713318,0.9765135049819946,0.30618515610694885,0.9242857098579407,0.9775755405426025,0.30788254737854004
17,0.9055793881416321,0.9700732231140137,0.33716121315956116,0.9342857003211975,0.983636736869812,0.2824189364910126
18,0.9120171666145325,0.972809910774231,0.3253573477268219,0.918571412563324,0.9793999791145325,0.3407796323299408
19,0.9116595387458801,0.9759382009506226,0.31124448776245117,0.9314285516738892,0.9803346991539001,0.2871479094028473
20,0.9138054251670837,0.9710100293159485,0.33129429817199707,0.9100000262260437,0.9827020764350891,0.3298734724521637
21,0.9134477972984314,0.9723792672157288,0.3286728858947754,0.9371428489685059,0.987910270690918,0.27094972133636475
22,0.9191702604293823,0.975082516670227,0.3186454772949219,0.9228571653366089,0.9825876951217651,0.3054099977016449
23,0.9202432036399841,0.9772997498512268,0.3057292103767395,0.9357143044471741,0.9798245429992676,0.30115240812301636
24,0.9234620928764343,0.9752635359764099,0.3169219195842743,0.9485714435577393,0.9862121343612671,0.2613840699195862
25,0.9248927235603333,0.9794103503227234,0.301150381565094,0.9128571152687073,0.9788775444030762,0.3630602955818176
26,0.9248927235603333,0.9795750975608826,0.3067478835582733,0.9442856907844543,0.9871305823326111,0.26644933223724365
27,0.9202432036399841,0.9780359864234924,0.30831629037857056,0.9385714530944824,0.9854122400283813,0.2749720513820648
28,0.9306151866912842,0.9803658127784729,0.29599958658218384,0.9471428394317627,0.9887265563011169,0.2654000520706177
29,0.9349070191383362,0.9827812314033508,0.28354379534721375,0.9300000071525574,0.9869714975357056,0.2769351899623871
