epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5496183037757874,0.5544840097427368,7.832168102264404,0.6060606241226196,0.6166207790374756,3.8834686279296875
1,0.5687022805213928,0.6385700702667236,3.816477060317993,0.5757575631141663,0.6652892231941223,2.8239247798919678
2,0.5419847369194031,0.5815220475196838,3.2653520107269287,0.6060606241226196,0.6666666269302368,2.67582368850708
3,0.614503800868988,0.65281742811203,2.8065338134765625,0.6818181872367859,0.7167125940322876,2.61515736579895
4,0.6335877776145935,0.7052910327911377,2.6519711017608643,0.6515151262283325,0.7607897520065308,2.6063551902770996
5,0.6412213444709778,0.6654040813446045,2.651909589767456,0.6515151262283325,0.7676767706871033,2.5716631412506104
6,0.5687022805213928,0.6033739447593689,2.6550676822662354,0.560606062412262,0.7502295970916748,2.6137588024139404
7,0.6412213444709778,0.6630732417106628,2.5938568115234375,0.7272727489471436,0.8011937737464905,2.5074286460876465
8,0.6259542107582092,0.7184313535690308,2.5199766159057617,0.6515151262283325,0.7635445594787598,2.5005695819854736
9,0.6679389476776123,0.6955013871192932,2.5193140506744385,0.5909090638160706,0.7470155954360962,2.4748361110687256
10,0.7557252049446106,0.8075869679450989,2.441915988922119,0.6818181872367859,0.783746600151062,2.4388833045959473
11,0.7137404680252075,0.7739933133125305,2.411789655685425,0.6666666865348816,0.7910927534103394,2.446350336074829
12,0.7366412281990051,0.7869588136672974,2.4015557765960693,0.6818181872367859,0.792011022567749,2.3882198333740234
13,0.7404580116271973,0.8069751262664795,2.353034019470215,0.6212121248245239,0.7617079615592957,2.464430332183838
14,0.6755725145339966,0.8074995875358582,2.37634539604187,0.6969696879386902,0.7897153496742249,2.3159477710723877
15,0.6755725145339966,0.8228832483291626,2.3450565338134766,0.6212121248245239,0.7773186564445496,2.4370038509368896
16,0.7213740348815918,0.7860556244850159,2.3060402870178223,0.7272727489471436,0.8218548893928528,2.2574105262756348
17,0.7061068415641785,0.799749493598938,2.2850146293640137,0.6515151262283325,0.7511478662490845,2.3567564487457275
18,0.7519084215164185,0.8113746047019958,2.2595956325531006,0.7575757503509521,0.8379247188568115,2.199941873550415
19,0.7633587718009949,0.834100604057312,2.171159267425537,0.7121211886405945,0.8723599910736084,2.169750690460205
20,0.7862595319747925,0.8631781339645386,2.117255687713623,0.7272727489471436,0.886593222618103,2.0905065536499023
21,0.8167939186096191,0.8848551511764526,2.0600597858428955,0.7121211886405945,0.8879706859588623,2.0804529190063477
22,0.8244274854660034,0.9059203267097473,2.0004003047943115,0.6818181872367859,0.8585858345031738,2.158108711242676
23,0.8167939186096191,0.8738418817520142,2.0227532386779785,0.8030303120613098,0.8475666046142578,2.0512068271636963
24,0.8282442688941956,0.9036478996276855,1.9720834493637085,0.7121211886405945,0.8640955090522766,2.0596742630004883
25,0.8282442688941956,0.9005011320114136,1.9511044025421143,0.6818181872367859,0.8898071050643921,2.124691963195801
26,0.8282442688941956,0.891410768032074,1.949913740158081,0.7878788113594055,0.910468339920044,1.8933446407318115
27,0.8435114622116089,0.9311520457267761,1.8535150289535522,0.7727272510528564,0.905417799949646,1.8849700689315796
28,0.8549618124961853,0.9341239333152771,1.8232215642929077,0.7727272510528564,0.8539944887161255,2.0463101863861084
29,0.8587786555290222,0.9422528147697449,1.7807189226150513,0.6818181872367859,0.8636363744735718,2.300055742263794
