Metric,Value
True Positive (TP),14 (21.21%)
True Negative (TN),33 (50.00%)
False Positive (FP),0 (0.00%)
False Negative (FN),19 (28.79%)
Precision,1.0000
Recall (Sensitivity),0.4242
F1-Score,0.5957
