Metric,Value
True Positive (TP),208 (50.00%)
True Negative (TN),0 (0.00%)
False Positive (FP),208 (50.00%)
False Negative (FN),0 (0.00%)
Precision,0.5000
Recall (Sensitivity),1.0000
F1-Score,0.6667
