epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.49715909361839294,0.46242254972457886,2.1266472339630127,0.5,0.6704545021057129,1.6148945093154907
1,0.4943181872367859,0.49284929037094116,1.3369596004486084,0.5,0.7133263945579529,1.0568004846572876
2,0.5994318127632141,0.6183174252510071,0.9239278435707092,0.6477272510528564,0.7920970916748047,0.7254870533943176
3,0.7698863744735718,0.8271887898445129,0.6313415169715881,0.8977272510528564,0.9764979481697083,0.37969186902046204
4,0.8551136255264282,0.9290580153465271,0.4395146071910858,0.9318181872367859,0.9868285655975342,0.28405457735061646
5,0.8948863744735718,0.9689114093780518,0.3567018210887909,0.8977272510528564,0.9832128286361694,0.363686203956604
6,0.9375,0.9881037473678589,0.2903895676136017,0.9772727489471436,0.9948346614837646,0.23036623001098633
7,0.9772727489471436,0.9915580153465271,0.2498212456703186,0.9090909361839294,0.9878615140914917,0.5272490978240967
8,0.9147727489471436,0.9600496888160706,0.3989253342151642,0.9545454382896423,0.9961260557174683,0.2819298207759857
9,0.9488636255264282,0.98418128490448,0.297945499420166,0.9318181872367859,0.9762396812438965,0.373727023601532
10,0.9460227489471436,0.9569182395935059,0.37025606632232666,0.9772727489471436,0.9932851195335388,0.27487048506736755
11,0.9545454382896423,0.9836002588272095,0.3009694218635559,0.9772727489471436,0.9974173307418823,0.23153187334537506
12,0.9772727489471436,0.9933013319969177,0.26094770431518555,0.9886363744735718,0.9994834661483765,0.19950097799301147
13,0.9857954382896423,0.9935756921768188,0.22324733436107635,0.9886363744735718,0.9999999403953552,0.17904223501682281
14,0.9431818127632141,0.9801458716392517,0.33673959970474243,0.9204545617103577,0.9886363744735718,0.32564517855644226
15,0.9573863744735718,0.9909446239471436,0.2979067265987396,0.9772727489471436,0.9974174499511719,0.23609457910060883
16,0.9857954382896423,0.9972882270812988,0.22894026339054108,0.9886363744735718,1.0,0.19425630569458008
17,0.9801136255264282,0.9925426840782166,0.2436044067144394,1.0,0.9999999403953552,0.173684224486351
18,0.9829545617103577,0.9988054633140564,0.2109769731760025,0.9772727489471436,0.9989669322967529,0.2349557727575302
19,0.9857954382896423,0.9974819421768188,0.21254898607730865,0.9318181872367859,0.9950929284095764,0.3625224828720093
20,0.9744318127632141,0.9960130453109741,0.22431635856628418,1.0,1.0,0.16599643230438232
21,0.9943181872367859,0.9988055229187012,0.17935417592525482,0.9772727489471436,1.0,0.18984799087047577
22,0.9886363744735718,0.9958354234695435,0.1852509081363678,1.0,1.0,0.14465561509132385
23,0.9630681872367859,0.9941890835762024,0.215291365981102,0.9772727489471436,0.9989669322967529,0.20027312636375427
24,0.9488636255264282,0.9777408242225647,0.29468539357185364,0.9659090638160706,0.9969008564949036,0.30527111887931824
25,0.9630681872367859,0.9911383390426636,0.2569408416748047,0.9090909361839294,0.9907025098800659,0.4271449148654938
26,0.9801136255264282,0.9960776567459106,0.22102922201156616,1.0,1.0,0.16826428472995758
27,0.9914772510528564,0.9989991784095764,0.1900428831577301,1.0,1.0,0.1577606201171875
28,0.9886363744735718,0.9989347457885742,0.19428452849388123,1.0,1.0,0.154449000954628
29,0.9857954382896423,0.9969977140426636,0.18814919888973236,0.9886363744735718,0.9999998807907104,0.16839691996574402
