Metric,Value
True Positive (TP),19 (28.79%)
True Negative (TN),29 (43.94%)
False Positive (FP),4 (6.06%)
False Negative (FN),14 (21.21%)
Precision,0.8261
Recall (Sensitivity),0.5758
F1-Score,0.6786
