epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.5343511700630188,0.5175106525421143,2.0997204780578613,0.5909090638160706,0.6258034706115723,1.9879740476608276
1,0.49618321657180786,0.5718198418617249,1.9599204063415527,0.6515151262283325,0.6965105533599854,1.878904938697815
2,0.5877862572669983,0.6396771669387817,1.8394683599472046,0.6212121248245239,0.6965105533599854,1.7737077474594116
3,0.5305343270301819,0.5348464846611023,1.7611033916473389,0.5,0.6565656661987305,1.6830377578735352
4,0.5152671933174133,0.6151739358901978,1.6607106924057007,0.6060606241226196,0.6359045505523682,1.592447280883789
5,0.5954198241233826,0.6346949338912964,1.5588387250900269,0.560606062412262,0.641873300075531,1.5050091743469238
6,0.5992366671562195,0.6713769435882568,1.4675109386444092,0.6060606241226196,0.6873278021812439,1.4188859462738037
7,0.5534350872039795,0.5612435340881348,1.4221185445785522,0.5757575631141663,0.7180900573730469,1.3397412300109863
8,0.6412213444709778,0.7022609114646912,1.318947196006775,0.560606062412262,0.7167125940322876,1.2777494192123413
9,0.6679389476776123,0.7138570547103882,1.257423758506775,0.5757575631141663,0.713498592376709,1.215596318244934
10,0.6717557311058044,0.7325038909912109,1.1881159543991089,0.5909090638160706,0.7369145750999451,1.2225903272628784
11,0.5610687136650085,0.6294213533401489,1.2396036386489868,0.5909090638160706,0.6795225143432617,1.165097951889038
12,0.5381679534912109,0.7224520444869995,1.1540453433990479,0.6363636255264282,0.7410468459129333,1.1170356273651123
13,0.6450381875038147,0.7453819513320923,1.0839829444885254,0.6212121248245239,0.7456381916999817,1.0678695440292358
14,0.6870229244232178,0.7914748787879944,1.022743821144104,0.6515151262283325,0.7479339241981506,1.0422782897949219
15,0.6832060813903809,0.7405163049697876,1.0091321468353271,0.6212121248245239,0.7020201683044434,1.0228480100631714
16,0.7213740348815918,0.8005069494247437,0.9368634223937988,0.7121211886405945,0.7773185968399048,0.9354967474937439
17,0.7022900581359863,0.8019638061523438,0.8880844712257385,0.7121211886405945,0.7979798316955566,0.8882879614830017
18,0.7824427485466003,0.8544374108314514,0.8308442234992981,0.6818181872367859,0.8062443137168884,0.9066886305809021
19,0.7404580116271973,0.8253598213195801,0.8421748876571655,0.7121211886405945,0.8236914277076721,0.8583463430404663
20,0.7938931584358215,0.8824077844619751,0.7518978118896484,0.6969696879386902,0.8613406419754028,0.8218697309494019
21,0.8091602921485901,0.8898374438285828,0.7327186465263367,0.7575757503509521,0.8512396812438965,0.7961152195930481
22,0.7824427485466003,0.8920516967773438,0.723135232925415,0.7121211886405945,0.8682277202606201,0.8288869857788086
23,0.8129770755767822,0.8852339386940002,0.7224512100219727,0.7575757503509521,0.8599632978439331,0.7535688281059265
24,0.8320610523223877,0.9294913411140442,0.6504766941070557,0.7878788113594055,0.8457300662994385,0.7646862268447876
25,0.8702290058135986,0.9484878182411194,0.5853033065795898,0.7575757503509521,0.8177226781845093,0.8402434587478638
26,0.8511450290679932,0.9360759258270264,0.5954452753067017,0.7727272510528564,0.8356290459632874,0.7973790764808655
27,0.8778625726699829,0.9462444186210632,0.5692036747932434,0.6969696879386902,0.836547315120697,0.8934068083763123
28,0.9007633328437805,0.9636384844779968,0.5443444848060608,0.7878788113594055,0.8613406419754028,0.7292585372924805
29,0.9160305261611938,0.9756133556365967,0.4955752491950989,0.7727272510528564,0.8732782602310181,0.7880566120147705
