epoch,accuracy,auc,loss,val_accuracy,val_auc,val_loss
0,0.47328245639801025,0.4506438970565796,2.2833893299102783,0.5,0.43939393758773804,1.834238052368164
1,0.46183204650878906,0.4391934871673584,1.6230180263519287,0.5,0.5009182691574097,1.3390215635299683
2,0.5,0.5070508718490601,1.2031996250152588,0.5,0.5303030610084534,1.0363359451293945
3,0.49618321657180786,0.4471476078033447,0.965049147605896,0.5,0.4788797199726105,0.8748930096626282
4,0.5076335668563843,0.4710389971733093,0.8411098122596741,0.4545454680919647,0.4412304759025574,0.7990356683731079
5,0.5114504098892212,0.5174523591995239,0.7766469717025757,0.5,0.4412304759025574,0.7599621415138245
6,0.45038166642189026,0.41640928387641907,0.7569596171379089,0.5,0.4999999701976776,0.7355631589889526
7,0.4885496199131012,0.5421304106712341,0.7297155857086182,0.469696968793869,0.5238751173019409,0.7214810252189636
8,0.5267175436019897,0.5622632503509521,0.7163040637969971,0.560606062412262,0.5477502346038818,0.7080662250518799
9,0.5267175436019897,0.48374220728874207,0.7175145745277405,0.5303030014038086,0.5197428464889526,0.705695390701294
10,0.5076335668563843,0.5349630117416382,0.7063398361206055,0.5151515007019043,0.5009182691574097,0.7054186463356018
11,0.5038167834281921,0.4143989384174347,0.710125207901001,0.5,0.4848484992980957,0.7041730880737305
12,0.5,0.47328245639801025,0.7036781311035156,0.5,0.5,0.7018411159515381
13,0.43893128633499146,0.4386982023715973,0.703531801700592,0.5,0.5,0.6995277404785156
14,0.4541984796524048,0.48464542627334595,0.6996461749076843,0.5,0.5,0.6976825594902039
15,0.5,0.5,0.6971030831336975,0.5,0.5,0.696290135383606
16,0.5,0.48091602325439453,0.696053683757782,0.5,0.5,0.695393979549408
17,0.5,0.5,0.6952698826789856,0.5,0.5,0.6947273015975952
18,0.4656488597393036,0.4961831867694855,0.6946074366569519,0.5,0.5,0.6942999958992004
19,0.4770992398262024,0.47709921002388,0.6943347454071045,0.5,0.5,0.6940140724182129
20,0.47328245639801025,0.5343511700630188,0.6941028833389282,0.5,0.5,0.6938228607177734
21,0.5,0.5,0.6937656998634338,0.5,0.5,0.693712592124939
22,0.5,0.5,0.693676233291626,0.5,0.5,0.6935691237449646
23,0.4770992398262024,0.4861604869365692,0.6936091780662537,0.5,0.5,0.6934347152709961
24,0.4694656431674957,0.45038166642189026,0.6938155293464661,0.5,0.5,0.693385124206543
25,0.48091602325439453,0.47328245639801025,0.6934507489204407,0.5,0.5,0.6933118104934692
26,0.4770992398262024,0.5,0.6933491826057434,0.5,0.5,0.6932756304740906
27,0.5,0.5,0.6933054327964783,0.5,0.5,0.6932467222213745
28,0.5,0.5,0.6932459473609924,0.5,0.5,0.6932218074798584
29,0.5190839767456055,0.4770992398262024,0.6932785511016846,0.5,0.5,0.6932340264320374
