Metric,Value
True Positive (TP),0 (0.00%)
True Negative (TN),33 (50.00%)
False Positive (FP),0 (0.00%)
False Negative (FN),33 (50.00%)
Precision,0.0000
Recall (Sensitivity),0.0000
F1-Score,0.0000
